"Text","Tag","Extra"
"\(a^{-n} = {{c1::\frac{1}{a^n} }}\)（a ≠ 0）","指数","負の指数は「分母に回す」という意味です。
a⁻ⁿ = 1/aⁿ なので、a³ の逆は 1/a³。
条件：a ≠ 0（0で割れない）"
"\(a^0 = {{c1::1 }}\)（a ≠ 0）","指数","どんな数でも、0乗は1になります。
例：5⁰ = 1、(-3)⁰ = 1。
条件：a ≠ 0（0⁰は定義しない）"
"\(a^{\frac{1}{2}} = {{c1::\sqrt{a} }}\)（a ≥ 0）","指数","指数 1/2 は平方根（√）と同じ意味です。
a^(1/2) = √a なので、4^(1/2) = 2。
条件：a ≥ 0（実数の平方根は非負）"
"\(a^m \cdot a^n = {{c1::a^{m+n} }}\)（a>0）","指数","同じ底の掛け算は、指数を足します。
a² × a³ = a⁵ のように、指数だけ計算。
条件：a > 0（負の底は別扱いになることがある）"
"\((a^m)^n = {{c1::a^{mn} }}\)（a>0）","指数","指数の外側にさらに指数が付くときは、掛け算します。
(a²)³ = a⁶ のように、2×3 = 6。
条件：a > 0"
"\((ab)^n = {{c1::a^n b^n }}\)（a>0,, b>0）","指数","積のn乗は、それぞれのn乗の積にできます。
(2×3)² = 2² × 3² = 4×9 = 36。
条件：a > 0, b > 0"
"\(\frac{a^m}{a^n} = {{c1::a^{m-n} }}\)（a>0）","指数","同じ底の割り算は、指数を引きます。
a⁵ ÷ a² = a³ のように、5−2 = 3。
条件：a > 0"
"\(\sqrt[n]{b^m} = {{c1::b^{\frac{m}{n}} }}\)（b>0。n が偶数なら被開方数 ≥ 0）","指数","n乗根は分数指数に直せます。
³√b² = b^(2/3) のように、根号の外と中を分数で表す。
条件：b > 0（nが偶数なら被開方数 ≥ 0）"
"\(\sqrt{(-6)^2} = {{c1::6 }}\)（偶数乗根の注意）","指数","平方根は「絶対値」として答えるのが正しい。
√((-6)²) = √36 = 6（-6ではない）。
偶数乗根は常に非負の答えになる"
"\(\sqrt[3]{-27} = {{c1::-3 }}\)（奇数乗根は負の数も取れる）","指数","奇数乗根は負の数も取れます。
³√(-27) = -3（(-3)³ = -27）。
偶数乗根と違い、符号がそのまま残る"
"\(a^x = b \;\Leftrightarrow\; x = {{c1::\log_a b }}\)（a>0,, a ≠ 1,, b>0）","対数","対数は「指数の逆操作」です。
aˣ = b なら x = logₐ b（aを何乗すればbか）。
条件：a > 0, a ≠ 1, b > 0"
"\(\log_a(bc) = {{c1::\log_a b + \log_a c }}\)（a>0,, a≠ 1,, b>0,, c>0）","対数","対数の積は、対数の和に分けられます。
log₂(8×4) = log₂8 + log₂4 = 3 + 2 = 5。
条件：底・真数はすべて正、底 ≠ 1"
"\(\log_a\!\left(\frac{b}{c}\right) = {{c1::\log_a b - \log_a c }}\)（a>0,, a≠ 1,, b>0,, c>0）","対数","対数の商は、対数の差になります。
log₃(27/9) = log₃27 − log₃9 = 3 − 2 = 1。
条件：底・真数はすべて正、底 ≠ 1"
"\(\log_a(b^n) = {{c1::n \log_a b }}\)（a>0,, a≠ 1,, b>0）","対数","対数の中の指数は、外に出せます。
log₂(8³) = 3 log₂8 = 3×3 = 9。
条件：底・真数はすべて正、底 ≠ 1"
"\(\log_a b = \frac{\log_c b}{{{c1::\log_c a} }}\)（底の変換。a>0,, a≠ 1,, b>0,, c>0,, c≠ 1,, a≠ c）","対数","底を変えても値は同じ。共通の底cで割る形にします。
log₂8 = log₁₀8 ÷ log₁₀2 のように使う。
条件：a, b, c > 0、各底 ≠ 1、a ≠ c"
"\(\log_a a = {{c1::1 }}\)（a>0,, a≠ 1）","対数","底と真数が同じなら、対数は1です。
log₅5 = 1（5¹ = 5）。
条件：a > 0, a ≠ 1"
"\(\log_a 1 = {{c1::0 }}\)（a>0,, a≠ 1）","対数","1の対数は、どんな底でも0です。
a⁰ = 1 だから logₐ1 = 0。
条件：a > 0, a ≠ 1"
"\(\log_{10} 100 = {{c1::2 }}\)（常用対数）","対数","常用対数 log₁₀ は10を何乗すれば…という意味。
log₁₀100 = 2（10² = 100）。
電卓の「log」ボタンがこれ"
"\(10^n\)（n は0以上の整数）の桁数は {{c1::n+1}} 桁","対数","10のn乗の桁数は n+1 桁です。
10³ = 1000 → 4桁、10⁰ = 1 → 1桁。
条件：n は0以上の整数"
"\(N \geq 1\) の正の実数 N の桁数は [\log_{10} N] + {{c1::1 }}（[, ] はガウス記号）","対数","任意の正の数Nの桁数は [log₁₀N] + 1。
例：N=500 → log₁₀500≈2.7 → [2.7]+1=3桁。
[ ]はガウス記号（小数点以下切り捨て）"
"\(\tan\theta = {{c1::\frac{\sin\theta}{\cos\theta} }}\)（cosθ ≠ 0）","三角関数","tanは sin÷cos の比です。
tanθ = sinθ/cosθ で、直角三角形の対辺÷隣辺。
条件：cosθ ≠ 0（θ = π/2 + nπ で未定義）"
"\(y = \tan\theta\) の定義域：θ ≠ {{c1::π/2 + nπ }}（n は整数）","三角関数","tanは cosが0になると発散します。
定義域：θ ≠ π/2 + nπ（nは整数）。
縦漸近線が π/2, 3π/2, … にある"
"\(\sin(-\theta) = {{c1::-\sin\theta }}\)（奇関数）","三角関数","sinは奇関数：符号が反転します。
sin(-θ) = −sinθ、グラフは原点対称。
例：sin(-30°) = −sin30° = −1/2"
"\(\cos(-\theta) = {{c1::\cos\theta }}\)（偶関数）","三角関数","cosは偶関数：符号は変わりません。
cos(-θ) = cosθ、グラフはy軸対称。
例：cos(-60°) = cos60° = 1/2"
"\(\tan(-\theta) = {{c1::-\tan\theta }}\)（奇関数）","三角関数","tanも奇関数です。
tan(-θ) = −tanθ、sinと同様に符号が反転。
例：tan(-45°) = −1"
"\(y = \sin(k\theta)\) の周期は {{c1::\frac{2π}{k} }}（k>0）","三角関数","y = sin(kθ) の周期は 2π/k です。
kが大きいほど波が細かく、周期は短くなる。
条件：k > 0"
"\(y = \cos(k\theta)\) の周期は {{c1::\frac{2π}{k} }}（k>0）","三角関数","y = cos(kθ) の周期も 2π/k です。
sinと同じ周期の考え方。
条件：k > 0"
"\(y = \tan(k\theta)\) の周期は {{c1::\frac{π}{k} }}（k>0）","三角関数","y = tan(kθ) の周期は π/k です。
tanはsin/cosより周期が半分（π）なので、sinの半分になる。
条件：k > 0"
"\(y = A\sin\theta\) の振幅は {{c1::|A| }}","三角関数","振幅は波の「高さの半分」です。
y = A sinθ の振幅は |A|（Aが負でも高さは|A|）。
例：y = −3sinθ の振幅も3"
"\(y = \sin(\theta - a)\) のグラフは y = sinθ を θ 軸方向に {{c1::+a}} だけ平行移動したもの","三角関数","y = sin(θ − a) は右にaだけ平行移動。
位相（しばすう）a > 0 ならグラフは右へずれる。
「θ − a」なので +a 方向にシフト"
"\(\sin(\alpha + \beta) = {{c1::\sin\alpha\cos\beta + \cos\alpha\sin\beta }}\)","加法定理","sinの加法定理：角度の和のsinを展開します。
sin(α+β) = sinα cosβ + cosα sinβ。
覚え方：sinは「同じ符号で＋」"
"\(\sin(\alpha - \beta) = {{c1::\sin\alpha\cos\beta - \cos\alpha\sin\beta }}\)","加法定理","sinの加法定理（差の形）。
sin(α−β) = sinα cosβ − cosα sinβ。
＋のときは＋、−のときは−で符号が変わる"
"\(\cos(\alpha + \beta) = {{c1::\cos\alpha\cos\beta - \sin\alpha\sin\beta }}\)","加法定理","cosの加法定理：角度の和のcosを展開します。
cos(α+β) = cosα cosβ − sinα sinβ。
覚え方：cosは「符号が交互に−」"
"\(\cos(\alpha - \beta) = {{c1::\cos\alpha\cos\beta + \sin\alpha\sin\beta }}\)","加法定理","cosの加法定理（差の形）。
cos(α−β) = cosα cosβ + sinα sinβ。
＋のとき中の−が＋に、−のとき＋が−に"
