表面,裏面,Word,Audio,Image
ability<br>[sound:ukabdic018.mp3],"能力, 才能, 力量<br><img src=""ability.jpg""><br><i>the skill or qualities that you need to do something</i><br>He had the ability to explain things clearly.",ability,ukabdic018.mp3,ability.jpg
abroad<br>[sound:ukabrea004.mp3],"海外で（へ）, 外国に（へ）<br><img src=""abroad.jpg""><br><i>in or to a different country</i><br>Are you going abroad this summer?",abroad,ukabrea004.mp3,abroad.jpg
absolutely<br>[sound:ukabrea023.mp3],"まったく, 絶対に, 完全に<br><img src=""absolutely.jpg""><br><i>completely</i><br>The food was absolutely delicious.",absolutely,ukabrea023.mp3,absolutely.jpg
accept<br>[sound:ukac___020.mp3],"（贈り物・申し出）を受け入れる, 受諾する<br><img src=""accept.jpg""><br><i>to take something that someone offers you</i><br>He accepted the job.",accept,ukac___020.mp3,accept.jpg
access<br>[sound:ukac___026.mp3],"利用可能なこと, 閲覧が可能なこと<br><img src=""access.jpg""><br><i>the fact of being able to use or see something</i><br>Do you have access to a computer?",access,ukac___026.mp3,access.jpg
accessible<br>[sound:ukac___028.mp3],"〈場所・人など〉近づきやすい，行きやすい.<br><img src=""accessible.jpg""><br><i>able to be reached or easily got:</i><br>The resort is easily accessible by road, rail, and air.",accessible,ukac___028.mp3,accessible.jpg
accident<br>[sound:ukacces002.mp3],"事故<br><img src=""accident.jpg""><br><i>something bad that happens that is not wanted or planned, and that hurts someone or damages something</i><br>a car accident",accident,ukacces002.mp3,accident.jpg
accommodate<br>[sound:ukacces011.mp3],"〈施設・乗り物などが〉〈人を〉収容する，乗せる，泊める.<br><img src=""accommodate.jpg""><br><i>to provide with a place to live or to be stored in:</i><br>New students may be accommodated in halls of residence.",accommodate,ukacces011.mp3,accommodate.jpg
accommodation<br>[sound:ukacces013.mp3],"宿, 宿泊施設<br><img src=""accommodation.jpg""><br><i>a place where travellers can stay</i><br>The price includes airfare, hotel accommodations hotel accommodations, and tickets to the theatre.",accommodation,ukacces013.mp3,accommodation.jpg
accomplish<br>[sound:ukacces019.mp3],"～を成し遂げる, 達成する<br><img src=""paste-aeefdedbcba13a4cf1a1204bc40c9baff16cd61a.jpg""><br><i>to succeed in doing something good</i><br>I feel as if I've accomplished nothing all day.",accomplish,ukacces019.mp3,paste-aeefdedbcba13a4cf1a1204bc40c9baff16cd61a.jpg
accomplishment<br>[sound:ukacces019.mp3],"成果, 業績<br><img src=""accomplishment.jpg""><br><i>something good that you have done that was difficult</i><br>Winning a gold medal was her greatest accomplishment.",accomplishment,ukacces019.mp3,accomplishment.jpg
according to<br>[sound:ukacces025.mp3],"～が言うには, ～によると<br><img src=""according-to.jpg""><br><i>as said by someone or as shown by something</i><br>According to the weather forecast, it’s going to rain tomorrow.",according to,ukacces025.mp3,according-to.jpg
accordingly<br>[sound:ukacces024.mp3],"それに応じて，適宜に.<br><img src=""paste-2665947cc98f2636afda59021bca1b48835eab48.png""><br><i>in a way that is suitable or right for the situation:</i><br>When we receive your instructions we will act accordingly.",accordingly,ukacces024.mp3,paste-2665947cc98f2636afda59021bca1b48835eab48.png
accountancy<br>[sound:ukaccou001.mp3],"会計士の仕事, 経理の仕事<br><img src=""accountancy.jpg""><br><i>the job of being an accountant</i><br>She works in accountancy.",accountancy,ukaccou001.mp3,accountancy.jpg
accurate<br>[sound:ukaccou015.mp3],"正確な, 的確な<br><img src=""accurate.jpg""><br><i>correct or exact</i><br>accurate information",accurate,ukaccou015.mp3,accurate.jpg
achieve<br>[sound:ukaceta008.mp3],"～を達成する, ～に成功する<br><img src=""index (2).png""><br><i>to succeed in doing something difficult</i><br>We finally achieved our goal of buying a house.",achieve,ukaceta008.mp3,index (2).png
acquire<br>[sound:ukacqua008.mp3],"～を入手する, 手に入れる<br><img src=""acquire.jpg""><br><i>to get something</i><br>My grandfather acquired several valuable paintings.",acquire,ukacqua008.mp3,acquire.jpg
act<br>[sound:ukacqua027.mp3],"（～のように）ふるまう<br><img src=""act.jpg""><br><i>to behave in a particular way, usually a bad way</i><br>Stop acting like a child!",act,ukacqua027.mp3,act.jpg
actually<br>[sound:ukactiv012.mp3],"本当は, 実際には<br><img src=""actually.jpg""><br><i>used when you are saying what is TRUE about a situation</i><br>He didn't actually say anything important.",actually,ukactiv012.mp3,actually.jpg
adapt<br>[sound:ukactiv029.mp3],"～を改造する, 脚色する<br><img src=""paste-b8cb0683b4f86dcfd0432196890c2b36645fb246.png""><br><i>to change something to fit a different use or situation</i><br>The original book has been adapted for television.",adapt,ukactiv029.mp3,paste-b8cb0683b4f86dcfd0432196890c2b36645fb246.png
adapter<br>[sound:ukadapt005.mp3],"アダプター（形状の違う機器を接続する器具）<br><img src=""adapter.jpg""><br><i>something that is used for connecting two or more pieces of electrical equipment to the same electrical supply</i><br>a power adapter",adapter,ukadapt005.mp3,adapter.jpg
additional<br>[sound:ukadapt016.mp3],"追加の, さらなる<br><img src=""additional.jpg""><br><i>more than what already exists</i><br>We need additional information.",additional,ukadapt016.mp3,additional.jpg
adequate<br>[sound:ukadapt029.mp3],"十分な, ちょうどの<br><img src=""paste-8ee64b1cf834a7bbd103f457d936dd52550f3634.png""><br><i>enough</i><br>I didn't have adequate time to prepare.",adequate,ukadapt029.mp3,paste-8ee64b1cf834a7bbd103f457d936dd52550f3634.png
adjust<br>[sound:ukadher028.mp3],"～を調節する, 調整する<br><img src=""adjust.jpg""><br><i>to change something slightly to make it fit or work better</i><br>You can adjust the heat with this switch.",adjust,ukadher028.mp3,adjust.jpg
